 Dimension       Time    Gflop/s       Error
       128   0.281891   7.094948     3.552714e-15
       256   0.324925   6.155274     2.131628e-14
       512   0.323873   6.175265     8.526513e-14
      1024   0.330113   6.058528     8.526513e-14
      2048   0.336928   5.935987     1.136868e-12
      4096   0.344438   5.806562     5.911716e-12
      8192   0.346107   5.778588     4.092726e-12
     16384   0.341211   5.861563     1.318767e-11
     32768   0.341098   5.863496     2.000888e-11
     65536   0.349613   5.720687     7.639755e-11
    131072   0.351542   5.689669     2.546585e-10
    262144   0.345924   5.782080     4.365575e-10
    524288   0.355068   5.634651     3.652531e-09
   1048576   0.466868   4.285326     1.894659e-08
   2097152   0.524120   3.817225     3.271271e-08
   4194304   0.698733   2.869304     3.655441e-08
   8388608   0.731684   2.751553     3.157184e-07
  16777216   0.725253   2.775948     3.753230e-07
  33554432   0.740495   2.718810     1.007691e-06
  67108864   0.740251   2.719706     7.636845e-07
